type;price;loc;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi
Rumah Second;Rp485 Jt;Gamping, Kab. Sleman;2 KT;LT 108m²;LB 42m²;SHM
Rumah Second;Rp550 Jt;Depok, Kab. Sleman;2 KT;LT 84m²;LB 70m²;SHM
Rumah Second;Rp3,3 M;Gondokusuman, Kota Yogyakarta;7 KT;LT 1000m²;LB 744m²;SHM
Rumah Second;Rp799 Jt;Ngemplak, Kab. Sleman;3 KT;LT 126m²;LB 90m²;SHM
Rumah Second;Rp1,6 M;Godean, Kab. Sleman;3 KT;LT 100m²;LB 108m²;HGB
Rumah Second;Rp499 Jt;Sleman, Kab. Sleman;2 KT;LT 120m²;LB 36m²;SHM
Rumah Second;Rp1,2 M;Seyegan, Kab. Sleman;4 KT;LT 571m²;LB 220m²;SHM
Rumah Second;Rp1,8 M;Ngemplak, Kab. Sleman;3 KT;LT 150m²;LB 108m²;SHM
Rumah Second;Rp550 Jt;Godean, Kab. Sleman;3 KT;LT 124m²;LB 58m²;SHM
Rumah Second;Rp4,8 M;Ngaglik, Kab. Sleman;6 KT;LT 843m²;LB 340m²;SHM
Rumah Second;Rp553 Jt;Godean, Kab. Sleman;3 KT;LT 103m²;LB 70m²;SHM
Rumah Second;Rp4,5 M;Mlati, Kab. Sleman;5 KT;LT 220m²;LB 230m²;SHM
Rumah Second;Rp725 Jt;Banguntapan, Kab. Bantul;3 KT;LT 100m²;LB 75m²;SHM
Rumah Second;Rp1,7 M;Godean, Kab. Sleman;3 KT;LT 100m²;LB 108m²;SHM
Rumah Second;Rp3,8 M;Mlati, Kab. Sleman;3 KT;LT 204m²;LB 142m²;HGB
Rumah Second;Rp775 Jt;Ngemplak, Kab. Sleman;3 KT;LT 116m²;LB 85m²;SHM
Rumah Second;Rp200,2 Jt;Moyudan, Kab. Sleman;2 KT;LT 60m²;LB 30m²;HGB
Rumah Second;Rp538 Jt;Berbah, Kab. Sleman;2 KT;LT 84m²;LB 46m²;SHM
Rumah Second;Rp465 Jt;Berbah, Kab. Sleman;3 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp592 Jt;Sleman, Kab. Sleman;2 KT;LT 104m²;LB 50m²;SHM
Rumah Second;Rp625 Jt;Ngemplak, Kab. Sleman;2 KT;LT 95m²;LB 70m²;SHM
Rumah Second;Rp1 M;Tegalrejo, Kota Yogyakarta;2 KT;LT 86m²;LB 65m²;HGB
Rumah Second;Rp4,9 M;Ngaglik, Kab. Sleman;4 KT;LT 262m²;LB 300m²;SHM
Rumah Second;Rp375 Jt;Kalasan, Kab. Sleman;2 KT;LT 72m²;LB 72m²;SHM
