type;price;loc;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi
Rumah Second;Rp850 Jt;Ngaglik, Kab. Sleman;3 KT;LT 120m²;LB 60m²;SHM
Rumah Second;Rp815 Jt;Gondokusuman, Kota Yogyakarta;3 KT;LT 112m²;LB 75m²;SHM
Rumah Second;Rp850 Jt;Depok, Kab. Sleman;3 KT;LT 92m²;LB 80m²;SHM
Rumah Second;Rp1,7 M;Depok, Kab. Sleman;4 KT;LT 160m²;LB 119m²;SHM
Rumah Second;Rp859 Jt;Kasihan, Kab. Bantul;3 KT;LT 126m²;LB 69m²;HGB
Rumah Second;Rp1,2 M;Ngemplak, Kab. Sleman;4 KT;LT 90m²;LB 170m²;SHM
Rumah Second;Rp485 Jt;Depok, Kab. Sleman;2 KT;LT 80m²;LB 36m²;SHM
Rumah Second;Rp666,5 Jt;Sleman, Kab. Sleman;2 KT;LT 102m²;LB 50m²;SHM
Rumah Second;Rp1,5 M;Ngaglik, Kab. Sleman;3 KT;LT 110m²;LB 90m²;SHM
Rumah Second;Rp875 Jt;Kalasan, Kab. Sleman;3 KT;LT 121m²;LB 138m²;SHM
Rumah Second;Rp3,5 M;Mlati, Kab. Sleman;5 KT;LT 334m²;LB 135m²;SHM
Rumah Second;Rp748 Jt;Ngaglik, Kab. Sleman;2 KT;LT 103m²;LB 65m²;SHM
Rumah Second;Rp2,3 M;Ngaglik, Kab. Sleman;4 KT;LT 149m²;LB 175m²;SHM
Rumah Second;Rp695 Jt;Depok, Kab. Sleman;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp1,1 M;Depok, Kab. Sleman;3 KT;LT 111m²;LB 90m²;SHM
Rumah Second;Rp620 Jt;Gamping, Kab. Sleman;2 KT;LT 85m²;LB 45m²;SHM
Rumah Second;Rp800 Jt;Umbulharjo, Kota Yogyakarta;11 KT;LT 79m²;LB 148m²;SHM
Rumah Second;Rp5,7 M;Depok, Kab. Sleman;19 KT;LT 976m²;LB 786m²;SHM
Rumah Second;Rp1,9 M;Ngaglik, Kab. Sleman;5 KT;LT 144m²;LB 120m²;SHM
Rumah Second;Rp4,6 M;Gamping, Kab. Sleman;5 KT;LT 307m²;LB 300m²;HGB
Rumah Second;Rp1,3 M;Ngaglik, Kab. Sleman;3 KT;LT 88m²;LB 125m²;SHM
Rumah Second;Rp455 Jt;Sedayu, Kab. Bantul;2 KT;LT 81m²;LB 36m²;SHM
Rumah Second;Rp1,3 M;Depok, Kab. Sleman;3 KT;LT 116m²;LB 130m²;SHM
Rumah Second;Rp380 Jt;Kasihan, Kab. Bantul;3 KT;LT 100m²;LB 60m²;SHM
Rumah Second;Rp6,5 M;Ngaglik, Kab. Sleman;9 KT;LT 2360m²;LB 1000m²;SHM
Rumah Second;Rp497 Jt;Banguntapan, Kab. Bantul;2 KT;LT 84m²;LB 47m²;SHM
Rumah Second;Rp250 Jt;Kalasan, Kab. Sleman;2 KT;LT 71m²;LB 30m²;SHM
Rumah Second;Rp785 Jt;Godean, Kab. Sleman;3 KT;LT 123m²;LB 73m²;SHM
Rumah Second;Rp785 Jt;Gamping, Kab. Sleman;3 KT;LT 123m²;LB 73m²;SHM
Rumah Second;Rp725 Jt;Depok, Kab. Sleman;3 KT;LT 114m²;LB 71m²;SHM
Rumah Second;Rp725,5 Jt;Godean, Kab. Sleman;3 KT;LT 114m²;LB 70m²;SHM
Rumah Second;Rp375 Jt;Prambanan, Kab. Sleman;2 KT;LT 80m²;LB 30m²;SHM
Rumah Second;Rp375 Jt;Kalasan, Kab. Sleman;2 KT;LT 80m²;LB 30m²;SHM
Rumah Second;Rp825 Jt;Ngaglik, Kab. Sleman;3 KT;LT 126m²;LB 70m²;SHM
Rumah Second;Rp552 Jt;Seyegan, Kab. Sleman;3 KT;LT 124m²;LB 58m²;SHM
Rumah Second;Rp9,9 M;Sleman, Kab. Sleman;5 KT;LT 478m²;LB 300m²;SHM
Rumah Second;Rp463 Jt;Sleman, Kab. Sleman;2 KT;LT 92m²;LB 36m²;SHM
Rumah Second;Rp395 Jt;Kasihan, Kab. Bantul;2 KT;LT 78m²;LB 36m²;SHM
Rumah Second;Rp629 Jt;Mlati, Kab. Sleman;3 KT;LT 102m²;LB 53m²;SHM
Rumah Second;Rp1,2 M;Bantul, Kab. Bantul;6 KT;LT 140m²;LB 130m²;SHM
Rumah Second;Rp1,6 M;Ngemplak, Kab. Sleman;3 KT;LT 130m²;LB 130m²;SHM
Rumah Second;Rp398 Jt;Sleman, Kab. Sleman;2 KT;LT 84m²;LB 36m²;SHM
Rumah Second;Rp460 Jt;Godean, Kab. Sleman;2 KT;LT 85m²;LB 50m²;SHM
Rumah Second;Rp720 Jt;Ngaglik, Kab. Sleman;2 KT;LT 90m²;LB 50m²;SHM
Rumah Second;Rp1,8 M;Gamping, Kab. Sleman;3 KT;LT 120m²;LB 92m²;SHM
Rumah Second;Rp460 Jt;Godean, Kab. Sleman;2 KT;LT 83m²;LB 50m²;SHM
Rumah Second;Rp415,2 Jt;Kalasan, Kab. Sleman;2 KT;LT 83m²;LB 45m²;SHM
Rumah Second;Rp300 Jt;Kalasan, Kab. Sleman;2 KT;LT 81m²;LB 30m²;Tidak Tersedia
Rumah Second;Rp799 Jt;Ngemplak, Kab. Sleman;3 KT;LT 124m²;LB 80m²;SHM
Rumah Second;Rp1,3 M;Banguntapan, Kab. Bantul;5 KT;LT 251m²;LB 200m²;SHM
Rumah Second;Rp450 Jt;Umbulharjo, Kota Yogyakarta;2 KT;LT 77m²;LB 45m²;SHM
Rumah Second;Rp875 Jt;Ngaglik, Kab. Sleman;3 KT;LT 137m²;LB 90m²;SHM
Rumah Second;Rp1,8 M;Depok, Kab. Sleman;3 KT;LT 135m²;LB 110m²;SHM
Rumah Second;Rp600 Jt;Gamping, Kab. Sleman;3 KT;LT 117m²;LB 70m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 108m²;LB 135m²;SHM
Rumah Second;Rp14 M;Depok, Kab. Sleman;9 KT;LT 970m²;LB 725m²;SHM
Rumah Second;Rp775 Jt;Godean, Kab. Sleman;3 KT;LT 124m²;LB 80m²;SHM
Rumah Second;Rp550 Jt;Seyegan, Kab. Sleman;3 KT;LT 126m²;LB 60m²;SHM
Rumah Second;Rp795 Jt;Mlati, Kab. Sleman;3 KT;LT 128m²;LB 70m²;SHM
Rumah Second;Rp375 Jt;Moyudan, Kab. Sleman;2 KT;LT 60m²;LB 36m²;SHM
Rumah Second;Rp825,5 Jt;Ngaglik, Kab. Sleman;3 KT;LT 126m²;LB 70m²;SHM
Rumah Second;Rp2,3 M;Ngaglik, Kab. Sleman;4 KT;LT 169m²;LB 200m²;SHM
Rumah Second;Rp4 M;Godean, Kab. Sleman;4 KT;LT 700m²;LB 245m²;SHM
Rumah Second;Rp825 Jt;Mlati, Kab. Sleman;3 KT;LT 126m²;LB 75m²;SHM
Rumah Second;Rp258 Jt;Prambanan, Kab. Sleman;2 KT;LT 70m²;LB 30m²;SHM
Rumah Second;Rp357 Jt;Kalasan, Kab. Sleman;2 KT;LT 103m²;LB 36m²;SHM
Rumah Second;Rp1,2 M;Depok, Kab. Sleman;3 KT;LT 90m²;LB 130m²;SHM
Rumah Second;Rp420 Jt;Turi, Kab. Sleman;2 KT;LT 90m²;LB 36m²;SHM
Rumah Second;Rp535 Jt;Kalasan, Kab. Sleman;2 KT;LT 80m²;LB 36m²;SHM
Rumah Second;Rp517 Jt;Kasihan, Kab. Bantul;2 KT;LT 81m²;LB 50m²;SHM
Rumah Second;Rp900 Jt;Kalasan, Kab. Sleman;3 KT;LT 165m²;LB 65m²;SHM
Rumah Second;Rp1,5 M;Ngaglik, Kab. Sleman;4 KT;LT 104m²;LB 144m²;SHM
Rumah Second;Rp535 Jt;Ngaglik, Kab. Sleman;2 KT;LT 80m²;LB 36m²;SHM
Rumah Second;Rp1,2 M;Sewon, Kab. Bantul;3 KT;LT 85m²;LB 85m²;SHM
Rumah Second;Rp3,2 M;Mlati, Kab. Sleman;4 KT;LT 153m²;LB 180m²;SHM
Rumah Second;Rp399 Jt;Sedayu, Kab. Bantul;2 KT;LT 83m²;LB 45m²;SHM
Rumah Second;Rp580 Jt;Sewon, Kab. Bantul;3 KT;LT 126m²;LB 75m²;SHM
Rumah Second;Rp545 Jt;Ngaglik, Kab. Sleman;2 KT;LT 86m²;LB 45m²;SHM
Rumah Second;Rp1,1 M;Ngemplak, Kab. Sleman;3 KT;LT 154m²;LB 90m²;SHM
Rumah Second;Rp2,5 M;Sewon, Kab. Bantul;3 KT;LT 163m²;LB 130m²;SHM
Rumah Second;Rp675 Jt;Ngaglik, Kab. Sleman;3 KT;LT 90m²;LB 50m²;SHM
Rumah Second;Rp3,2 M;Gondokusuman, Kota Yogyakarta;5 KT;LT 158m²;LB 180m²;SHM
Rumah Second;Rp750 Jt;Kasihan, Kab. Bantul;2 KT;LT 80m²;LB 40m²;SHM
Rumah Second;Rp3,3 M;Tegalrejo, Kota Yogyakarta;6 KT;LT 120m²;LB 213m²;SHM
Rumah Second;Rp625 Jt;Gamping, Kab. Sleman;3 KT;LT 128m²;LB 64m²;SHM
Rumah Second;Rp515 Jt;Kalasan, Kab. Sleman;2 KT;LT 107m²;LB 41m²;SHM
Rumah Second;Rp545 Jt;Ngaglik, Kab. Sleman;2 KT;LT 85m²;LB 455m²;SHM
Rumah Second;Rp549 Jt;Kalasan, Kab. Sleman;2 KT;LT 90m²;LB 50m²;SHM
Rumah Second;Rp536 Jt;Depok, Kab. Sleman;2 KT;LT 97m²;LB 45m²;SHM
Rumah Second;Rp875 Jt;Banguntapan, Kab. Bantul;2 KT;LT 120m²;LB 90m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 90m²;LB 88m²;SHM
Rumah Second;Rp410 Jt;Bantul, Kab. Bantul;2 KT;LT 80m²;LB 42m²;SHM
Rumah Second;Rp875 Jt;Ngaglik, Kab. Sleman;3 KT;LT 99m²;LB 99m²;SHM
Rumah Second;Rp380 Jt;Godean, Kab. Sleman;2 KT;LT 135m²;LB 50m²;SHM
Rumah Second;Rp1,8 M;Pakem, Kab. Sleman;2 KT;LT 683m²;LB 500m²;SHM
Rumah Second;Rp7,5 M;Sewon, Kab. Bantul;15 KT;LT 534m²;LB 50m²;SHM
Rumah Second;Rp985 Jt;Ngaglik, Kab. Sleman;3 KT;LT 104m²;LB 72m²;SHM
Rumah Second;Rp3,3 M;Tegalrejo, Kota Yogyakarta;6 KT;LT 213m²;LB 120m²;SHM
Rumah Second;Rp900 Jt;Ngaglik, Kab. Sleman;3 KT;LT 135m²;LB 80m²;SHM
Rumah Second;Rp450 Jt;Pajangan, Kab. Bantul;2 KT;LT 81m²;LB 40m²;SHM
Rumah Second;Rp492,7 Jt;Gamping, Kab. Sleman;2 KT;LT 70m²;LB 45m²;SHM
Rumah Second;Rp395 Jt;Sedayu, Kab. Bantul;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp247,5 Jt;Playen, Kab. Gunung Kidul;2 KT;LT 72m²;LB 36m²;SHM
Rumah Second;Rp400 Jt;Sedayu, Kab. Bantul;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp815 Jt;Depok, Kab. Sleman;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp575 Jt;Depok, Kab. Sleman;3 KT;LT 97m²;LB 56m²;SHM
Rumah Second;Rp375 Jt;Moyudan, Kab. Sleman;2 KT;LT 60m²;LB 36m²;HGB
Rumah Second;Rp342 Jt;Prambanan, Kab. Sleman;2 KT;LT 103m²;LB 36m²;SHM
Rumah Second;Rp3,5 M;Mlati, Kab. Sleman;5 KT;LT 135m²;LB 335m²;SHM
Rumah Second;Rp325 Jt;Kalasan, Kab. Sleman;2 KT;LT 95m²;LB 36m²;SHM
Rumah Second;Rp499 Jt;Prambanan, Kab. Sleman;2 KT;LT 72m²;LB 50m²;SHM
Rumah Second;Rp5 M;Ngaglik, Kab. Sleman;5 KT;LT 295m²;LB 400m²;SHM
Rumah Second;Rp476 Jt;Sleman, Kab. Sleman;2 KT;LT 112m²;LB 30m²;SHM
Rumah Second;Rp2,5 M;Ngaglik, Kab. Sleman;4 KT;LT 250m²;LB 180m²;SHM
Rumah Second;Rp4,9 M;Ngaglik, Kab. Sleman;5 KT;LT 193m²;LB 300m²;SHM
Rumah Second;Rp4 M;Kasihan, Kab. Bantul;5 KT;LT 415m²;LB 300m²;SHM
Rumah Second;Rp4,9 M;Ngaglik, Kab. Sleman;5 KT;LT 262m²;LB 290m²;SHM
Rumah Second;Rp476 Jt;Mlati, Kab. Sleman;2 KT;LT 112m²;LB 30m²;SHM
Rumah Second;Rp4,5 M;Depok, Kab. Sleman;6 KT;LT 319m²;LB 405m²;SHM
Rumah Second;Rp477 Jt;Sleman, Kab. Sleman;2 KT;LT 112m²;LB 30m²;SHM
Rumah Second;Rp745 Jt;Ngaglik, Kab. Sleman;3 KT;LT 98m²;LB 90m²;SHM
Rumah Second;Rp4,5 M;Ngaglik, Kab. Sleman;21 KT;LT 728m²;LB 595m²;SHM
Rumah Second;Rp480 Jt;Prambanan, Kab. Sleman;3 KT;LT 60m²;LB 52m²;SHM
Rumah Second;Rp493,2 Jt;Kalasan, Kab. Sleman;2 KT;LT 72m²;LB 36m²;SHM
Rumah Second;Rp2,2 M;Gamping, Kab. Sleman;3 KT;LT 150m²;LB 336m²;SHM
Rumah Second;Rp475 Jt;Mlati, Kab. Sleman;3 KT;LT 102m²;LB 60m²;SHM
Rumah Second;Rp810 Jt;Mlati, Kab. Sleman;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp815 Jt;Godean, Kab. Sleman;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp2 M;Depok, Kab. Sleman;4 KT;LT 150m²;LB 190m²;SHM
Rumah Second;Rp775 Jt;Kalasan, Kab. Sleman;3 KT;LT 120m²;LB 75m²;SHM
Rumah Second;Rp525 Jt;Sleman, Kab. Sleman;3 KT;LT 111m²;LB 140m²;SHM
Rumah Second;Rp772 Jt;Ngemplak, Kab. Sleman;3 KT;LT 129m²;LB 60m²;SHM
Rumah Second;Rp665 Jt;Prambanan, Kab. Sleman;3 KT;LT 68m²;LB 85m²;SHM
Rumah Second;Rp425 Jt;Kasihan, Kab. Bantul;2 KT;LT 70m²;LB 36m²;SHM
Rumah Second;Rp440 Jt;Prambanan, Kab. Sleman;2 KT;LT 75m²;LB 45m²;SHM
Rumah Second;Rp900 Jt;Banguntapan, Kab. Bantul;3 KT;LT 107m²;LB 121m²;SHM
Rumah Second;Rp669 Jt;Jetis, Kab. Bantul;3 KT;LT 153m²;LB 60m²;SHM
Rumah Second;Rp495 Jt;Sewon, Kab. Bantul;2 KT;LT 87m²;LB 45m²;SHM
Rumah Second;Rp725 Jt;Kasihan, Kab. Bantul;3 KT;LT 96m²;LB 65m²;SHM
Rumah Second;Rp160 Jt;Ngaglik, Kab. Sleman;1 KT;LT 20m²;LB 18m²;Tidak Tersedia
Rumah Second;Rp2,3 M;Ngaglik, Kab. Sleman;5 KT;LT 169m²;LB 205m²;SHM
Rumah Second;Rp335 Jt;Sewon, Kab. Bantul;3 KT;LT 78m²;LB 78m²;SHM
Rumah Second;Rp999 Jt;Ngemplak, Kab. Sleman;3 KT;LT 103m²;LB 100m²;SHM
Rumah Second;Rp1,2 M;Ngaglik, Kab. Sleman;3 KT;LT 347m²;LB 152m²;SHM
Rumah Second;Rp335 Jt;Kalasan, Kab. Sleman;2 KT;LT 80m²;LB 30m²;SHM
Rumah Second;Rp150 Jt;Lendah, Kab. Kulon Progo;3 KT;LT 140m²;LB 89m²;SHM
Rumah Second;Rp2,8 M;Ngaglik, Kab. Sleman;4 KT;LT 190m²;LB 200m²;SHM
Rumah Second;Rp197 Jt;Depok, Kab. Sleman;2 KT;LT 28m²;LB 65m²;SHM
Rumah Second;Rp885 Jt;Ngemplak, Kab. Sleman;3 KT;LT 102m²;LB 75m²;SHM
Rumah Second;Rp850 Jt;Depok, Kab. Sleman;3 KT;LT 80m²;LB 80m²;SHM
Rumah Second;Rp900 Jt;Kalasan, Kab. Sleman;3 KT;LT 165m²;LB 64m²;SHM
Rumah Second;Rp920 Jt;Banguntapan, Kab. Bantul;2 KT;LT 107m²;LB 121m²;SHM
Rumah Second;Rp4,5 M;Umbulharjo, Kota Yogyakarta;6 KT;LT 320m²;LB 350m²;SHM
Rumah Second;Rp233 Jt;Kalasan, Kab. Sleman;2 KT;LT 60m²;LB 30m²;SHM
Rumah Second;Rp2,5 M;Depok, Kab. Sleman;5 KT;LT 123m²;LB 200m²;SHM
Rumah Second;Rp405 Jt;Sedayu, Kab. Bantul;2 KT;LT 95m²;LB 45m²;SHM
Rumah Second;Rp6,5 M;Depok, Kab. Sleman;6 KT;LT 478m²;LB 300m²;HGB
Rumah Second;Rp575 Jt;Kalasan, Kab. Sleman;3 KT;LT 104m²;LB 80m²;SHM
Rumah Second;Rp438,4 Jt;Gamping, Kab. Sleman;2 KT;LT 77m²;LB 40m²;SHM
Rumah Second;Rp625 Jt;Kasihan, Kab. Bantul;4 KT;LT 128m²;LB 250m²;SHM
Rumah Second;Rp625 Jt;Moyudan, Kab. Sleman;3 KT;LT 90m²;LB 45m²;SHM
Rumah Second;Rp898 Jt;Ngemplak, Kab. Sleman;3 KT;LT 65m²;LB 90m²;SHM
Rumah Second;Rp500 Jt;Kalasan, Kab. Sleman;2 KT;LT 102m²;LB 45m²;SHM
Rumah Second;Rp695 Jt;Umbulharjo, Kota Yogyakarta;2 KT;LT 89m²;LB 89m²;SHM
Rumah Second;Rp785 Jt;Godean, Kab. Sleman;3 KT;LT 116m²;LB 75m²;SHM
Rumah Second;Rp2,8 M;Ngaglik, Kab. Sleman;3 KT;LT 185m²;LB 160m²;SHM
Rumah Second;Rp950 Jt;Ngemplak, Kab. Sleman;3 KT;LT 115m²;LB 95m²;SHM
Rumah Second;Rp1,8 M;Umbulharjo, Kota Yogyakarta;18 KT;LT 138m²;LB 138m²;SHM
Rumah Second;Rp368 Jt;Gamping, Kab. Sleman;2 KT;LT 96m²;LB 38m²;SHM
Rumah Second;Rp500 Jt;Gamping, Kab. Sleman;2 KT;LT 108m²;LB 42m²;HGB
Rumah Second;Rp3,5 M;Mlati, Kab. Sleman;5 KT;LT 304m²;LB 258m²;SHM
Rumah Second;Rp810 Jt;Ngemplak, Kab. Sleman;3 KT;LT 124m²;LB 85m²;SHM
Rumah Second;Rp650 Jt;Depok, Kab. Sleman;2 KT;LT 100m²;LB 45m²;SHM
Rumah Second;Rp760 Jt;Ngaglik, Kab. Sleman;2 KT;LT 91m²;LB 50m²;SHM
Rumah Second;Rp593 Jt;Sleman, Kab. Sleman;2 KT;LT 103m²;LB 50m²;SHM
Rumah Second;Rp800 Jt;Godean, Kab. Sleman;3 KT;LT 112m²;LB 75m²;SHM
Rumah Second;Rp279 Jt;Berbah, Kab. Sleman;2 KT;LT 70m²;LB 36m²;SHM
Rumah Second;Rp279 Jt;Depok, Kab. Sleman;2 KT;LT 70m²;LB 36m²;SHM
Rumah Second;Rp1,6 M;Godean, Kab. Sleman;3 KT;LT 108m²;LB 100m²;SHM
Rumah Second;Rp585 Jt;Gondokusuman, Kota Yogyakarta;3 KT;LT 112m²;LB 50m²;SHM
Rumah Second;Rp595 Jt;Mlati, Kab. Sleman;3 KT;LT 112m²;LB 50m²;SHM
Rumah Second;Rp240 Jt;Prambanan, Kab. Sleman;2 KT;LT 60m²;LB 40m²;SHM
Rumah Second;Rp530 Jt;Pakem, Kab. Sleman;2 KT;LT 60m²;LB 60m²;SHM
Rumah Second;Rp950 Jt;Ngaglik, Kab. Sleman;3 KT;LT 145m²;LB 85m²;SHM
Rumah Second;Rp1,2 M;Banguntapan, Kab. Bantul;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp925 Jt;Ngaglik, Kab. Sleman;3 KT;LT 137m²;LB 100m²;SHM
Rumah Second;Rp875 Jt;Kasihan, Kab. Bantul;3 KT;LT 121m²;LB 138m²;SHM
Rumah Second;Rp431 Jt;Mlati, Kab. Sleman;2 KT;LT 87m²;LB 36m²;SHM
Rumah Second;Rp475 Jt;Berbah, Kab. Sleman;3 KT;LT 86m²;LB 45m²;SHM
Rumah Second;Rp1,2 M;Ngaglik, Kab. Sleman;3 KT;LT 181m²;LB 120m²;SHM
Rumah Second;Rp1,6 M;Kalasan, Kab. Sleman;4 KT;LT 146m²;LB 135m²;SHM
Rumah Second;Rp680 Jt;Ngaglik, Kab. Sleman;3 KT;LT 97m²;LB 65m²;SHM
Rumah Second;Rp425 Jt;Seyegan, Kab. Sleman;2 KT;LT 100m²;LB 50m²;SHM
Rumah Second;Rp395 Jt;Sleman, Kab. Sleman;2 KT;LT 81m²;LB 36m²;SHM
Rumah Second;Rp1,8 M;Ngaglik, Kab. Sleman;3 KT;LT 155m²;LB 212m²;SHM
Rumah Second;Rp720 Jt;Sleman, Kab. Sleman;2 KT;LT 92m²;LB 51m²;SHM
Rumah Second;Rp579 Jt;Sleman, Kab. Sleman;2 KT;LT 105m²;LB 60m²;SHM
Rumah Second;Rp450 Jt;Sleman, Kab. Sleman;2 KT;LT 82m²;LB 50m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;4 KT;LT 428m²;LB 140m²;SHM
Rumah Second;Rp265 Jt;Sleman, Kab. Sleman;2 KT;LT 76m²;LB 40m²;SHM
Rumah Second;Rp210 Jt;Piyungan, Kab. Bantul;1 KT;LT 60m²;LB 21m²;SHM
Rumah Second;Rp385 Jt;Bantul, Kab. Bantul;2 KT;LT 64m²;LB 40m²;SHM
Rumah Second;Rp378 Jt;Bantul, Kab. Bantul;2 KT;LT 75m²;LB 50m²;SHM
Rumah Second;Rp499,9 Jt;Kalasan, Kab. Sleman;2 KT;LT 96m²;LB 55m²;SHM
Rumah Second;Rp335 Jt;Bantul, Kab. Bantul;2 KT;LT 75m²;LB 45m²;SHM
Rumah Second;Rp635 Jt;Kalasan, Kab. Sleman;3 KT;LT 123m²;LB 70m²;SHM
Rumah Second;Rp280 Jt;Bantul, Kab. Bantul;2 KT;LT 60m²;LB 30m²;SHM
Rumah Second;Rp1,1 M;Umbulharjo, Kota Yogyakarta;4 KT;LT 144m²;LB 200m²;SHM
Rumah Second;Rp3,5 M;Sleman, Kab. Sleman;12 KT;LT 223m²;LB 260m²;SHM
Rumah Second;Rp1,7 M;Ngemplak, Kab. Sleman;3 KT;LT 123m²;LB 119m²;SHM
Rumah Second;Rp295 Jt;Jetis, Kab. Bantul;2 KT;LT 66m²;LB 36m²;SHM
Rumah Second;Rp1,9 M;Depok, Kab. Sleman;3 KT;LT 128m²;LB 188m²;SHM
Rumah Second;Rp337 Jt;Seyegan, Kab. Sleman;2 KT;LT 60m²;LB 30m²;SHM
Rumah Second;Rp600 Jt;Kasihan, Kab. Bantul;2 KT;LT 114m²;LB 40m²;HGB
Rumah Second;Rp875 Jt;Ngaglik, Kab. Sleman;3 KT;LT 145m²;LB 85m²;SHM
Rumah Second;Rp170 Jt;Sedayu, Kab. Bantul;2 KT;LT 60m²;LB 30m²;HGB
Rumah Second;Rp750 Jt;Kalasan, Kab. Sleman;2 KT;LT 95m²;LB 80m²;SHM
Rumah Second;Rp998 Jt;Ngaglik, Kab. Sleman;3 KT;LT 103m²;LB 100m²;SHM
Rumah Second;Rp995 Jt;Depok, Kab. Sleman;3 KT;LT 103m²;LB 100m²;SHM
Rumah Second;Rp845 Jt;Ngemplak, Kab. Sleman;3 KT;LT 116m²;LB 90m²;SHM
Rumah Second;Rp542,5 Jt;Godean, Kab. Sleman;2 KT;LT 95m²;LB 50m²;SHM
Rumah Second;Rp2,8 M;Wirobrajan, Kota Yogyakarta;28 KT;LT 335m²;LB 335m²;SHM
Rumah Second;Rp583 Jt;Berbah, Kab. Sleman;2 KT;LT 85m²;LB 46m²;SHM
Rumah Second;Rp650 Jt;Godean, Kab. Sleman;3 KT;LT 211m²;LB 100m²;SHM
Rumah Second;Rp490 Jt;Mlati, Kab. Sleman;2 KT;LT 92m²;LB 36m²;SHM
Rumah Second;Rp584 Jt;Mlati, Kab. Sleman;2 KT;LT 86m²;LB 46m²;SHM
Rumah Second;Rp299 Jt;Sedayu, Kab. Bantul;2 KT;LT 72m²;LB 36m²;SHM
Rumah Second;Rp1,7 M;Mantrijeron, Kota Yogyakarta;3 KT;LT 232m²;LB 255m²;HGB
Rumah Second;Rp1,8 M;Ngaglik, Kab. Sleman;4 KT;LT 120m²;LB 200m²;SHM
Rumah Second;Rp700 Jt;Gamping, Kab. Sleman;3 KT;LT 125m²;LB 75m²;SHM
Rumah Second;Rp3,4 M;Wirobrajan, Kota Yogyakarta;3 KT;LT 402m²;LB 170m²;SHM
Rumah Second;Rp551 Jt;Sleman, Kab. Sleman;3 KT;LT 124m²;LB 58m²;SHM
Rumah Second;Rp815 Jt;Mlati, Kab. Sleman;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp561 Jt;Sedayu, Kab. Bantul;2 KT;LT 98m²;LB 36m²;SHM
Rumah Second;Rp360 Jt;Kalasan, Kab. Sleman;2 KT;LT 105m²;LB 36m²;SHM
Rumah Second;Rp1,1 M;Kalasan, Kab. Sleman;4 KT;LT 104m²;LB 150m²;SHM
Rumah Second;Rp1,8 M;Mlati, Kab. Sleman;4 KT;LT 164m²;LB 190m²;HGB
Rumah Second;Rp550 Jt;Mlati, Kab. Sleman;3 KT;LT 126m²;LB 58m²;SHM
Rumah Second;Rp510 Jt;Jetis, Kab. Bantul;3 KT;LT 107m²;LB 65m²;SHM
Rumah Second;Rp635 Jt;Kalasan, Kab. Sleman;2 KT;LT 103m²;LB 57m²;SHM
Rumah Second;Rp500 Jt;Jetis, Kab. Bantul;3 KT;LT 107m²;LB 70m²;SHM
Rumah Second;Rp4,6 M;Depok, Kab. Sleman;3 KT;LT 180m²;LB 145m²;SHM
Rumah Second;Rp4,4 M;Depok, Kab. Sleman;3 KT;LT 170m²;LB 145m²;SHM
Rumah Second;Rp4,1 M;Depok, Kab. Sleman;3 KT;LT 160m²;LB 125m²;SHM
Rumah Second;Rp3,8 M;Depok, Kab. Sleman;3 KT;LT 142m²;LB 125m²;SHM
Rumah Second;Rp3,3 M;Mlati, Kab. Sleman;3 KT;LT 166m²;LB 135m²;HGB
Rumah Second;Rp2,1 M;Mlati, Kab. Sleman;3 KT;LT 110m²;LB 107m²;HGB
Rumah Second;Rp2,3 M;Depok, Kab. Sleman;3 KT;LT 129m²;LB 126m²;SHM
Rumah Second;Rp4,4 M;Mlati, Kab. Sleman;3 KT;LT 260m²;LB 142m²;HGB
Rumah Second;Rp1,8 M;Gamping, Kab. Sleman;3 KT;LT 120m²;LB 93m²;SHM
Rumah Second;Rp1,1 M;Ngemplak, Kab. Sleman;3 KT;LT 235m²;LB 90m²;SHM
Rumah Second;Rp275 Jt;Sedayu, Kab. Bantul;2 KT;LT 72m²;LB 50m²;HGB
Rumah Second;Rp1,2 M;Ngaglik, Kab. Sleman;3 KT;LT 185m²;LB 100m²;SHM
Rumah Second;Rp2,1 M;Banguntapan, Kab. Bantul;3 KT;LT 163m²;LB 142m²;SHM
Rumah Second;Rp2,9 M;Mlati, Kab. Sleman;4 KT;LT 110m²;LB 146m²;SHM
Rumah Second;Rp299 Jt;Seyegan, Kab. Sleman;2 KT;LT 106m²;LB 36m²;SHM
Rumah Second;Rp690 Jt;Godean, Kab. Sleman;2 KT;LT 80m²;LB 43m²;HGB
Rumah Second;Rp800 Jt;Pakem, Kab. Sleman;2 KT;LT 191m²;LB 191m²;SHM
