date,type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Diperbarui 1 jam lalu,Rumah Second,"Rp4,8 M","Cakung, Kota Jakarta Timur",4 KT,LT 200m²,LB 250m²,HGB
Diperbarui 1 jam lalu,Rumah Second,"Rp8,5 M","Tanjung Priok, Kota Jakarta Utara",4 KT,LT 396m²,LB 500m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp3,5 M","Cakung, Kota Jakarta Timur",7 KT,LT 420m²,LB 375m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp2,1 M","Cipayung, Kota Jakarta Timur",4 KT,LT 81m²,LB 110m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp1,2 M","Cengkareng, Kota Jakarta Barat",3 KT,LT 51m²,LB 104m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp3,2 M","Cakung, Kota Jakarta Timur",3 KT,LT 180m²,LB 160m²,SHM
Diperbarui 1 jam lalu,Rumah Second,Rp2 M,"Tanjung Priok, Kota Jakarta Utara",6 KT,LT 200m²,LB 180m²,HGB
Diperbarui 1 jam lalu,Rumah Second,"Rp14,5 M","Cilandak, Kota Jakarta Selatan",5 KT,LT 1050m²,LB 600m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp1,1 M","Kembangan, Kota Jakarta Barat",2 KT,LT 72m²,LB 144m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp2,5 M","Cakung, Kota Jakarta Timur",3 KT,LT 98m²,LB 134m²,HGB
Diperbarui 1 jam lalu,Rumah Second,"Rp2,1 M","Cakung, Kota Jakarta Timur",3 KT,LT 120m²,LB 87m²,HGB
Diperbarui 1 jam lalu,Rumah Second,"Rp5,3 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 318m²,LB 320m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp2,6 M","Kebon Jeruk, Kota Jakarta Barat",4 KT,LT 90m²,LB 280m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp4,7 M","Cipayung, Kota Jakarta Timur",4 KT,LT 387m²,LB 236m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp4,7 M","Cipayung, Kota Jakarta Timur",4 KT,LT 387m²,LB 236m²,SHM
Diperbarui 1 jam lalu,Rumah Second,"Rp2,4 M","Jagakarsa, Kota Jakarta Selatan",4 KT,LT 161m²,LB 180m²,SHM
Diperbarui 1 jam lalu,Rumah Second,Rp3 M,"Kelapa Gading, Kota Jakarta Utara",4 KT,LT 90m²,LB 180m²,SHM
