type;price;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi;area;region
Rumah Second;16.0;4.0;110.0;90.0;SHM;Gamping; Kab. Sleman
Rumah Second;585.0;2.0;83.0;50.0;HGB;Ngaglik; Kab. Sleman
Rumah Second;765.0;2.0;108.0;50.0;SHM;Seyegan; Kab. Sleman
Rumah Second;33.0;3.0;166.0;135.0;HGB;Gedongtengen (Gedong Tengen); Kota Yogyakarta
Rumah Second;44.0;3.0;260.0;142.0;HGB;Gedongtengen (Gedong Tengen); Kota Yogyakarta
Rumah Second;21.0;3.0;111.0;107.0;HGB;Gondokusuman; Kota Yogyakarta
Rumah Second;450.0;4.0;91.0;91.0;SHM;Mergangsan; Kota Yogyakarta
Rumah Second;520.0;3.0;107.0;75.0;SHM;Bantul; Kab. Bantul
Rumah Second;570.0;2.0;70.0;40.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;395.0;2.0;94.0;50.0;SHM;Kalasan; Kab. Sleman
Rumah Second;650.0;2.0;100.0;45.0;SHM;Sleman; Kab. Sleman
Rumah Second;14.0;4.0;104.0;136.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;800.0;3.0;123.0;73.0;SHM;Jetis; Kota Yogyakarta
Rumah Second;14.0;3.0;138.0;83.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;623.0;3.0;91.0;60.0;SHM;Depok; Kab. Sleman
Rumah Second;350.0;2.0;106.0;50.0;SHM;Moyudan; Kab. Sleman
Rumah Second;199.0;2.0;64.0;26.0;SHM;Kalasan; Kab. Sleman
Rumah Second;895.0;2.0;84.0;48.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;25.0;6.0;210.0;240.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;395.0;2.0;80.0;45.0;SHM;Gamping; Kab. Sleman
Rumah Second;199.0;2.0;64.0;26.0;SHM;Prambanan; Kab. Sleman
Rumah Second;750.0;3.0;130.0;60.0;SHM;Mlati; Kab. Sleman
Rumah Second;750.0;3.0;109.0;70.0;HGB;Mlati; Kab. Sleman
Rumah Second;23.0;4.0;123.0;145.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;7989.0;3.0;126.0;90.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;175.0;2.0;60.0;36.0;HGB;Wonosari; Kab. Gunung Kidul
Rumah Second;550.0;2.0;88.0;45.0;SHM;Kalasan; Kab. Sleman
Rumah Second;18.0;3.0;121.0;100.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;598.0;2.0;102.0;50.0;SHM;Mlati; Kab. Sleman
Rumah Second;750.0;3.0;120.0;60.0;SHM;Sleman; Kab. Sleman
Rumah Second;625.0;2.0;101.0;45.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;480.0;2.0;140.0;50.0;SHM;Berbah; Kab. Sleman
Rumah Second;25.0;8.0;256.0;350.0;SHM;Kretek; Kab. Bantul
Rumah Second;3.0;7.0;225.0;400.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;625.0;3.0;91.0;60.0;SHM;Kalasan; Kab. Sleman
Rumah Second;16.0;3.0;113.0;125.0;SHM;Kalasan; Kab. Sleman
Rumah Second;550.0;3.0;101.0;80.0;SHM;Kalasan; Kab. Sleman
Rumah Second;350.0;2.0;88.0;45.0;SHM;Sedayu; Kab. Bantul
Rumah Second;535.0;2.0;80.0;50.0;SHM;Depok; Kab. Sleman
Rumah Second;16.0;5.0;154.0;320.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;750.0;2.0;119.0;100.0;SHM;Mantrijeron; Kota Yogyakarta
Rumah Second;19.0;5.0;142.0;190.0;SHM;Godean; Kab. Sleman
Rumah Second;12.0;3.0;148.0;90.0;SHM;Godean; Kab. Sleman
Rumah Second;15.0;4.0;131.0;120.0;SHM;Kalasan; Kab. Sleman
Rumah Second;460.0;3.0;98.0;60.0;SHM;Kasihan; Kab. Bantul
Rumah Second;11.0;3.0;108.0;80.0;SHM;Kasihan; Kab. Bantul
Rumah Second;13.0;4.0;207.0;160.0;SHM;Kalasan; Kab. Sleman
Rumah Second;650.0;3.0;104.0;70.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;550.0;2.0;89.0;51.0;SHM;Kalasan; Kab. Sleman
Rumah Second;27.0;4.0;100.0;80.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;775.0;3.0;106.0;70.0;SHM;Kalasan; Kab. Sleman
Rumah Second;800.0;3.0;123.0;73.0;SHM;Gamping; Kab. Sleman
Rumah Second;398.0;2.0;107.0;36.0;SHM;Seyegan; Kab. Sleman
Rumah Second;485.0;2.0;80.0;45.0;SHM;Sewon; Kab. Bantul
Rumah Second;800.0;3.0;123.0;73.0;SHM;Godean; Kab. Sleman
Rumah Second;470.0;2.0;80.0;40.0;SHM;Kasihan; Kab. Bantul
Rumah Second;26.0;2.0;354.0;234.0;SHM;Kalasan; Kab. Sleman
Rumah Second;750.0;2.0;100.0;50.0;SHM;Sleman; Kab. Sleman
Rumah Second;597.0;2.0;78.0;45.0;SHM;Kasihan; Kab. Bantul
Rumah Second;220.0;1.0;60.0;21.0;SHM;Berbah; Kab. Sleman
Rumah Second;453.0;2.0;80.0;40.0;SHM;Kasihan; Kab. Bantul
Rumah Second;400.0;2.0;45.0;36.0;SHM;Prambanan; Kab. Sleman
Rumah Second;563.0;2.0;78.0;45.0;SHM;Kasihan; Kab. Bantul
Rumah Second;580.0;2.0;78.0;45.0;SHM;Kasihan; Kab. Bantul
Rumah Second;775.0;2.0;110.0;54.0;SHM;Ngaglik; Kab. Sleman
